case,algo,timestep,n_seeds,avg_return_mean,avg_return_std,avg_return_ci95,success_rate_mean,success_rate_std,success_rate_ci95,hole_rate_mean,hole_rate_std,hole_rate_ci95,avg_episode_length_mean,avg_episode_length_std,avg_episode_length_ci95
case2_slippery_4x4,DQN-Safe,18000,5,0.54,0.30886890422961,0.27073553146936585,0.54,0.30886890422961,0.27073553146936585,0.18000000000000002,0.11800423721205947,0.10343527444735669,54.205,25.71871011540042,22.543443371765544
case2_slippery_4x4,DQN-Safe,20000,5,0.568,0.32086991133479625,0.2812548780021424,0.568,0.32086991133479625,0.2812548780021424,0.16099999999999998,0.0967212489580237,0.08477991271521809,52.96400000000001,26.3133809591242,23.064695348640527
case2_slippery_4x4,DQN-Safe,22000,5,0.38099999999999995,0.3540197734590541,0.31031201330274016,0.38099999999999995,0.3540197734590541,0.31031201330274016,0.12,0.13052777482206612,0.11441263916193874,68.17999999999999,30.315669009606236,26.572855502034397
case2_slippery_4x4,DQN-Safe,24000,5,0.496,0.3030140260780018,0.26560350449495196,0.496,0.3030140260780018,0.26560350449495196,0.131,0.08294576541331089,0.07270516900468632,61.3,23.972525680453447,21.012845229430496
case2_slippery_4x4,DQN-Safe,26000,5,0.6659999999999999,0.08088572185497263,0.07089946121092879,0.6659999999999999,0.08088572185497263,0.07089946121092879,0.21400000000000002,0.0778138805098422,0.06820687355391683,43.565000000000005,10.026999177221466,8.78905229407585
case2_slippery_4x4,DQN-Safe,28000,5,0.5439999999999999,0.309059055845319,0.2709022067093585,0.5439999999999999,0.309059055845319,0.2709022067093585,0.189,0.1164259421263148,0.10205183780804734,52.376999999999995,26.636205763959698,23.347663766347154
case2_slippery_4x4,DQN-Safe,30000,5,0.639,0.0943663075467086,0.082715715556356,0.639,0.0943663075467086,0.082715715556356,0.177,0.07957700672933105,0.06975232182515502,49.185,11.62038994612487,10.185720883079409
case2_slippery_4x4,DQN-Safe,32000,5,0.533,0.32195884830207727,0.2822093733383071,0.533,0.32195884830207727,0.2822093733383071,0.14900000000000002,0.08429116205154608,0.0738844611538854,56.76700000000001,25.68106466835049,22.510445682535916
case2_slippery_4x4,DQN-Safe,34000,5,0.679,0.08605230967266361,0.0754281751071839,0.679,0.08605230967266361,0.0754281751071839,0.177,0.05596874127582289,0.049058764762272604,45.645,8.706365487389098,7.631465826169963
case2_slippery_4x4,DQN-Safe,36000,5,0.53,0.32409489351114434,0.2840816995161779,0.53,0.32409489351114434,0.2840816995161779,0.138,0.07782994282408282,0.06822095279311188,57.847,25.48426465488067,22.337942864964088
