case,algo,seed,timestep,eval_return_mean,eval_success_rate,eval_hole_rate,eval_episode_length_mean
case2_slippery_4x4,DQN-Safe,0,4000,0.455,0.455,0.2,60.915
case2_slippery_4x4,DQN-Safe,0,6000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,0,8000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,0,10000,0.0,0.0,0.0,100.0
case2_slippery_4x4,DQN-Safe,0,12000,0.435,0.435,0.17,64.04
case2_slippery_4x4,DQN-Safe,0,14000,0.575,0.575,0.31,44.765
case2_slippery_4x4,DQN-Safe,0,16000,0.455,0.455,0.2,60.915
case2_slippery_4x4,DQN-Safe,0,18000,0.62,0.62,0.305,39.555
case2_slippery_4x4,DQN-Safe,0,20000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,0,22000,0.55,0.55,0.105,61.13
case2_slippery_4x4,DQN-Safe,0,24000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,0,26000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,0,28000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,0,30000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,0,32000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,0,34000,0.55,0.55,0.105,61.13
case2_slippery_4x4,DQN-Safe,0,36000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,0,38000,0.55,0.55,0.105,61.13
case2_slippery_4x4,DQN-Safe,0,40000,0.535,0.535,0.14,60.215
case2_slippery_4x4,DQN-Safe,0,42000,0.55,0.55,0.1,62.88
case2_slippery_4x4,DQN-Safe,0,44000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,0,46000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,0,48000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,0,50000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,0,52000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,0,54000,0.74,0.74,0.165,42.49
case2_slippery_4x4,DQN-Safe,0,56000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,0,58000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,0,60000,0.735,0.735,0.19,40.215
case2_slippery_4x4,DQN-Safe,1,2000,0.175,0.175,0.8,34.085
