case,algo,seed,timestep,eval_return_mean,eval_success_rate,eval_hole_rate,eval_episode_length_mean
case3_hard_slippery_8x8,DQN-Safe,1,98000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,100000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,102000,0.0,0.0,0.065,96.88
case3_hard_slippery_8x8,DQN-Safe,1,104000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,106000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,108000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,110000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,112000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,114000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,116000,0.01,0.01,0.22,90.26
case3_hard_slippery_8x8,DQN-Safe,1,118000,0.0,0.0,0.065,96.955
case3_hard_slippery_8x8,DQN-Safe,1,120000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,2000,0.0,0.0,0.965,35.95
case3_hard_slippery_8x8,DQN-Safe,2,4000,0.0,0.0,0.3,87.92
case3_hard_slippery_8x8,DQN-Safe,2,6000,0.0,0.0,0.255,90.355
case3_hard_slippery_8x8,DQN-Safe,2,8000,0.0,0.0,0.185,93.06
case3_hard_slippery_8x8,DQN-Safe,2,10000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,12000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,14000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,16000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,18000,0.0,0.0,0.235,91.605
case3_hard_slippery_8x8,DQN-Safe,2,20000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,22000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,24000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,26000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,28000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,30000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,32000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,34000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,36000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,38000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,40000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,42000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,44000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,46000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,48000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,50000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,52000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,54000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,56000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,58000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,60000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,62000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,64000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,66000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,68000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,70000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,72000,0.0,0.0,0.035,98.53
case3_hard_slippery_8x8,DQN-Safe,2,74000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,76000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,78000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,80000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,82000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,84000,0.005,0.005,0.1,96.79
case3_hard_slippery_8x8,DQN-Safe,2,86000,0.0,0.0,0.235,91.21
case3_hard_slippery_8x8,DQN-Safe,2,88000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,90000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,92000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,94000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,96000,0.0,0.0,0.14,94.11
case3_hard_slippery_8x8,DQN-Safe,2,98000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,100000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,102000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,104000,0.0,0.0,0.015,99.525
case3_hard_slippery_8x8,DQN-Safe,2,106000,0.0,0.0,0.045,98.62
case3_hard_slippery_8x8,DQN-Safe,2,108000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,110000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,112000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,114000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,116000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,118000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,2,120000,0.0,0.0,0.125,96.435
case3_hard_slippery_8x8,DQN-Safe,3,2000,0.0,0.0,0.81,57.93
case3_hard_slippery_8x8,DQN-Safe,3,4000,0.02,0.02,0.485,80.98
case3_hard_slippery_8x8,DQN-Safe,3,6000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,3,8000,0.035,0.035,0.27,88.07
case3_hard_slippery_8x8,DQN-Safe,3,10000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,3,12000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,3,14000,0.025,0.025,0.095,95.345
case3_hard_slippery_8x8,DQN-Safe,3,16000,0.09,0.09,0.16,90.585
case3_hard_slippery_8x8,DQN-Safe,3,18000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,3,20000,0.09,0.09,0.17,89.91
case3_hard_slippery_8x8,DQN-Safe,3,22000,0.21,0.21,0.395,75.985
case3_hard_slippery_8x8,DQN-Safe,3,24000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,3,26000,0.095,0.095,0.06,95.35
case3_hard_slippery_8x8,DQN-Safe,3,28000,0.12,0.12,0.0,96.645
case3_hard_slippery_8x8,DQN-Safe,3,30000,0.115,0.115,0.12,92.795
case3_hard_slippery_8x8,DQN-Safe,3,32000,0.31,0.31,0.04,87.675
case3_hard_slippery_8x8,DQN-Safe,3,34000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,3,36000,0.3,0.3,0.0,91.125
case3_hard_slippery_8x8,DQN-Safe,3,38000,0.05,0.05,0.065,96.07
case3_hard_slippery_8x8,DQN-Safe,3,40000,0.3,0.3,0.0,91.125
case3_hard_slippery_8x8,DQN-Safe,3,42000,0.3,0.3,0.0,91.125
case3_hard_slippery_8x8,DQN-Safe,3,44000,0.305,0.305,0.035,88.43
case3_hard_slippery_8x8,DQN-Safe,3,46000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,3,48000,0.105,0.105,0.06,94.985
case3_hard_slippery_8x8,DQN-Safe,3,50000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,3,52000,0.16,0.16,0.01,94.61
case3_hard_slippery_8x8,DQN-Safe,3,54000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,3,56000,0.115,0.115,0.025,95.715
case3_hard_slippery_8x8,DQN-Safe,3,58000,0.115,0.115,0.0,96.285
case3_hard_slippery_8x8,DQN-Safe,3,60000,0.115,0.115,0.025,95.46
case3_hard_slippery_8x8,DQN-Safe,3,62000,0.3,0.3,0.0,91.125
case3_hard_slippery_8x8,DQN-Safe,3,64000,0.21,0.21,0.175,86.0
case3_hard_slippery_8x8,DQN-Safe,3,66000,0.18,0.18,0.235,86.415
case3_hard_slippery_8x8,DQN-Safe,3,68000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,3,70000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,3,72000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,3,74000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,3,76000,0.215,0.215,0.04,92.225
case3_hard_slippery_8x8,DQN-Safe,3,78000,0.3,0.3,0.0,91.125
case3_hard_slippery_8x8,DQN-Safe,3,80000,0.3,0.3,0.05,87.33
case3_hard_slippery_8x8,DQN-Safe,3,82000,0.3,0.3,0.0,91.125
case3_hard_slippery_8x8,DQN-Safe,3,84000,0.155,0.155,0.0,94.785
case3_hard_slippery_8x8,DQN-Safe,3,86000,0.3,0.3,0.05,87.25
case3_hard_slippery_8x8,DQN-Safe,3,88000,0.305,0.305,0.105,84.715
case3_hard_slippery_8x8,DQN-Safe,3,90000,0.115,0.115,0.095,91.48
case3_hard_slippery_8x8,DQN-Safe,3,92000,0.31,0.31,0.035,88.29
case3_hard_slippery_8x8,DQN-Safe,3,94000,0.3,0.3,0.0,91.125
case3_hard_slippery_8x8,DQN-Safe,3,96000,0.3,0.3,0.055,87.275
case3_hard_slippery_8x8,DQN-Safe,3,98000,0.315,0.315,0.02,89.095
case3_hard_slippery_8x8,DQN-Safe,3,100000,0.305,0.305,0.025,88.76
case3_hard_slippery_8x8,DQN-Safe,3,102000,0.3,0.3,0.0,91.125
case3_hard_slippery_8x8,DQN-Safe,3,104000,0.305,0.305,0.045,87.465
case3_hard_slippery_8x8,DQN-Safe,3,106000,0.3,0.3,0.0,91.125
case3_hard_slippery_8x8,DQN-Safe,3,108000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,3,110000,0.3,0.3,0.0,91.125
case3_hard_slippery_8x8,DQN-Safe,3,112000,0.3,0.3,0.0,91.125
case3_hard_slippery_8x8,DQN-Safe,3,114000,0.155,0.155,0.0,94.785
case3_hard_slippery_8x8,DQN-Safe,3,116000,0.19,0.19,0.05,91.8
case3_hard_slippery_8x8,DQN-Safe,3,118000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,3,120000,0.13,0.13,0.055,94.21
case3_hard_slippery_8x8,DQN-Safe,4,2000,0.0,0.0,0.995,26.135
case3_hard_slippery_8x8,DQN-Safe,4,4000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,6000,0.0,0.0,0.125,95.18
case3_hard_slippery_8x8,DQN-Safe,4,8000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,10000,0.0,0.0,0.29,87.985
case3_hard_slippery_8x8,DQN-Safe,4,12000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,14000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,16000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,18000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,20000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,22000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,24000,0.0,0.0,0.105,96.12
case3_hard_slippery_8x8,DQN-Safe,4,26000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,28000,0.0,0.0,0.245,91.09
case3_hard_slippery_8x8,DQN-Safe,4,30000,0.05,0.05,0.375,81.365
case3_hard_slippery_8x8,DQN-Safe,4,32000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,34000,0.005,0.005,0.215,92.79
case3_hard_slippery_8x8,DQN-Safe,4,36000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,38000,0.005,0.005,0.1,95.945
case3_hard_slippery_8x8,DQN-Safe,4,40000,0.0,0.0,0.11,96.03
case3_hard_slippery_8x8,DQN-Safe,4,42000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,44000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,46000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,48000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,50000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,52000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,54000,0.07,0.07,0.2,90.475
case3_hard_slippery_8x8,DQN-Safe,4,56000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,58000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,60000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,62000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,64000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,66000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,68000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,70000,0.0,0.0,0.03,99.14
case3_hard_slippery_8x8,DQN-Safe,4,72000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,74000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,76000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,78000,0.0,0.0,0.1,97.48
case3_hard_slippery_8x8,DQN-Safe,4,80000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,82000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,84000,0.0,0.0,0.085,96.97
case3_hard_slippery_8x8,DQN-Safe,4,86000,0.0,0.0,0.015,99.49
case3_hard_slippery_8x8,DQN-Safe,4,88000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,90000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,92000,0.0,0.0,0.045,98.6
case3_hard_slippery_8x8,DQN-Safe,4,94000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,96000,0.0,0.0,0.065,97.505
case3_hard_slippery_8x8,DQN-Safe,4,98000,0.0,0.0,0.01,99.68
case3_hard_slippery_8x8,DQN-Safe,4,100000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,102000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,104000,0.0,0.0,0.05,98.015
case3_hard_slippery_8x8,DQN-Safe,4,106000,0.0,0.0,0.035,98.01
case3_hard_slippery_8x8,DQN-Safe,4,108000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,110000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,112000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,114000,0.0,0.0,0.02,99.44
case3_hard_slippery_8x8,DQN-Safe,4,116000,0.005,0.005,0.005,99.74
case3_hard_slippery_8x8,DQN-Safe,4,118000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,4,120000,0.0,0.0,0.0,100.0
