case,algo,timestep,n_seeds,success_rate_mean,success_rate_std,success_rate_ci95,avg_return_mean,avg_return_std,avg_return_ci95,hole_rate_mean,hole_rate_std,hole_rate_ci95,avg_episode_length_mean,avg_episode_length_std,avg_episode_length_ci95
case2_slippery_4x4,DQN,8000,5,0.493,0.21990338787749492,0.19275381812042008,0.493,0.21990338787749492,0.19275381812042008,0.46399999999999997,0.24432048624706032,0.2141563484933379,36.186,6.950046222867873,6.091984114030501
case2_slippery_4x4,DQN,10000,5,0.392,0.27974541998038144,0.2452076719843814,0.392,0.27974541998038144,0.2452076719843814,0.378,0.2930571616596326,0.25687592802752074,46.516999999999996,31.156891212057726,27.310219273348938
case2_slippery_4x4,DQN,12000,5,0.567,0.14767362662303649,0.12944164090430865,0.567,0.14767362662303649,0.12944164090430865,0.39699999999999996,0.17031588299392394,0.1492884536727472,33.842,6.837054921528713,5.992942871611575
case2_slippery_4x4,DQN,14000,5,0.476,0.22595353504647808,0.19805700593515996,0.476,0.22595353504647808,0.19805700593515996,0.487,0.2618348716271383,0.22950838416057917,31.937,10.240507555780622,8.97620063937967
case2_slippery_4x4,DQN,16000,5,0.55,0.13838352503098048,0.12129850782264388,0.55,0.13838352503098048,0.12129850782264388,0.40499999999999997,0.16911534525287764,0.14823613594532203,35.68000000000001,8.111810063111685,7.110315018900358
case2_slippery_4x4,DQN,18000,5,0.602,0.17711578134090705,0.15524882737077275,0.602,0.17711578134090705,0.15524882737077275,0.36300000000000004,0.20385656722313364,0.17868815965250748,36.439,7.895051773104466,6.920318000612398
case2_slippery_4x4,DQN,20000,5,0.596,0.16775726511838465,0.14704572622147166,0.596,0.16775726511838465,0.14704572622147166,0.354,0.2002311164629514,0.17551031194775993,38.025999999999996,6.658433937496113,5.836374675909695
case2_slippery_4x4,DQN,22000,5,0.6399999999999999,0.09987492177719087,0.08754422882177897,0.6399999999999999,0.09987492177719087,0.08754422882177897,0.29500000000000004,0.1078772450519571,0.09455857443933893,39.684,4.496331004274485,3.9412078957598773
case2_slippery_4x4,DQN,24000,5,0.564,0.16383680905095777,0.14360929496380098,0.564,0.16383680905095777,0.14360929496380098,0.39,0.1909842925478428,0.16740511342249972,35.595000000000006,7.033499306888428,6.1651339674008705
case2_slippery_4x4,DQN,26000,5,0.6639999999999999,0.06024948132556827,0.05281099885440531,0.6639999999999999,0.06024948132556827,0.05281099885440531,0.27299999999999996,0.06620045317065436,0.05802725566490285,39.833,3.4377365373163795,3.0133089337802734
case2_slippery_4x4,DQN,28000,5,0.634,0.06308724118235004,0.05529840504029029,0.634,0.06308724118235004,0.05529840504029029,0.29800000000000004,0.08105553651663779,0.07104831032473609,40.032,3.9295460933802535,3.4443990167226572
case2_slippery_4x4,DQN,30000,5,0.655,0.08803408430829503,0.07716527716531572,0.655,0.08803408430829503,0.07716527716531572,0.28400000000000003,0.09774968030638259,0.08568137253802602,40.474999999999994,2.348267978745185,2.0583476373052236
case2_slippery_4x4,DQN,32000,5,0.683,0.12023934464225926,0.10539443249052578,0.683,0.12023934464225926,0.10539443249052578,0.231,0.06358065743604734,0.05573090345580269,43.480000000000004,5.585647903332253,4.896036256810196
case2_slippery_4x4,DQN,34000,5,0.666,0.10370631610466162,0.09090259402239298,0.666,0.10370631610466162,0.09090259402239298,0.26399999999999996,0.13790395208259984,0.12087814359924622,40.705,4.955660904460675,4.343828305078367
case2_slippery_4x4,DQN,36000,5,0.6439999999999999,0.1060306559444013,0.09293996772110479,0.6439999999999999,0.1060306559444013,0.09293996772110479,0.21800000000000003,0.06129845022510765,0.05373046063454137,46.989999999999995,11.079915387763572,9.711974044858232
case2_slippery_4x4,DQN,38000,5,0.689,0.08443932733033821,0.07401433374691689,0.689,0.08443932733033821,0.07401433374691689,0.25,0.11219402836158437,0.09834240184172846,40.065000000000005,7.453914240182805,6.533643904284959
case2_slippery_4x4,DQN,40000,5,0.692,0.04132190702278876,0.03622024848064959,0.692,0.04132190702278876,0.03622024848064959,0.225,0.06324555320336758,0.05543717164502532,42.683,2.6622913063750175,2.3336012200888128
case2_slippery_4x4,DQN,42000,5,0.67,0.06585969936159747,0.05772857178209072,0.67,0.06585969936159747,0.05772857178209072,0.186,0.04748684028233506,0.04162405073992679,47.26,8.423742487754478,7.383735844408303
case2_slippery_4x4,DQN,44000,5,0.716,0.050174694817208404,0.043980059117741076,0.716,0.050174694817208404,0.043980059117741076,0.17800000000000002,0.05438290172471492,0.047668715107500016,45.265,1.657260540772031,1.4526529124329746
case2_slippery_4x4,DQN,46000,5,0.704,0.06426507605223852,0.05633082282374367,0.704,0.06426507605223852,0.05633082282374367,0.188,0.04957317823178175,0.04345280658369491,45.146,2.2272303428249183,1.9522534716578177
case2_slippery_4x4,DQN,48000,5,0.642,0.12853015210447702,0.11266164564748732,0.642,0.12853015210447702,0.11266164564748732,0.233,0.15118697033805525,0.13252122245134929,45.75,12.458155963062914,10.92005517421959
case2_slippery_4x4,DQN,50000,5,0.716,0.07577928476833233,0.06642347175509575,0.716,0.07577928476833233,0.06642347175509575,0.18800000000000003,0.05805170109479998,0.05088455954412891,42.590999999999994,2.221430845198653,1.9471699878541682
case2_slippery_4x4,DQN,52000,5,0.6910000000000001,0.08848728722251574,0.07756252703464475,0.6910000000000001,0.08848728722251574,0.07756252703464475,0.16899999999999998,0.05248809388804284,0.04600784280967757,46.864999999999995,8.85920636964734,7.7654367663383885
case2_slippery_4x4,DQN,54000,5,0.66,0.13476831971943556,0.11812964064958464,0.66,0.13476831971943556,0.11812964064958464,0.252,0.15682793118574256,0.137465742641576,42.29899999999999,6.141468065536122,5.383234109863697
case2_slippery_4x4,DQN,56000,5,0.7140000000000001,0.07326322406228108,0.06421804730759105,0.7140000000000001,0.07326322406228108,0.06421804730759105,0.18,0.06754628043053147,0.059206925270613386,44.736000000000004,1.320688267533258,1.157634307369991
case2_slippery_4x4,DQN,58000,5,0.5850000000000001,0.329564106055256,0.28887567568073297,0.5850000000000001,0.329564106055256,0.28887567568073297,0.123,0.0713792686989717,0.06256668762208847,57.06300000000001,24.157750205679335,21.175201684196537
case2_slippery_4x4,DQN,60000,5,0.5820000000000001,0.32593327538009986,0.28569311227259225,0.5820000000000001,0.32593327538009986,0.28569311227259225,0.13599999999999998,0.0800312438988674,0.07015047825923926,55.29100000000001,25.0097996793257,21.92205597715688
case2_slippery_4x4,PPO,2000,5,0.021,0.019493588689617928,0.017086883858679437,0.021,0.019493588689617928,0.017086883858679437,0.977,0.017175564037317684,0.015055045665822485,11.506,8.557991440752906,7.501410240054865
case2_slippery_4x4,PPO,4000,5,0.093,0.04671723450719231,0.04094946153492131,0.093,0.04671723450719231,0.04094946153492131,0.907,0.0467172345071923,0.040949461534921294,14.331999999999999,6.615605225525478,5.7988336546584955
case2_slippery_4x4,PPO,6000,5,0.10300000000000001,0.11448799063657288,0.10035314843092866,0.10300000000000001,0.11448799063657288,0.10035314843092866,0.8969999999999999,0.1144879906365729,0.10035314843092868,15.550999999999998,8.636033088171907,7.569816760107208
case2_slippery_4x4,PPO,8000,5,0.11699999999999999,0.024135036772294338,0.02115529248202444,0.11699999999999999,0.024135036772294338,0.02115529248202444,0.883,0.02413503677229436,0.02115529248202446,15.514,6.308538261752876,5.529677593639614
case2_slippery_4x4,PPO,10000,5,0.24200000000000005,0.26845856291055425,0.23531430555748203,0.24200000000000005,0.26845856291055425,0.23531430555748203,0.7470000000000001,0.2905942188000305,0.2547170634252837,18.328,14.324240206726499,12.555750132684228
case2_slippery_4x4,PPO,12000,5,0.281,0.250908349801277,0.21993086550095686,0.281,0.250908349801277,0.21993086550095686,0.7,0.2837472466826771,0.2487154277482601,22.632,16.21294066478996,14.211269077123266
case2_slippery_4x4,PPO,14000,5,0.275,0.17888543819998318,0.1568,0.275,0.17888543819998318,0.1568,0.717,0.18942676685199483,0.1660398819561132,21.774,12.9213342964262,11.326048883948893
case2_slippery_4x4,PPO,16000,5,0.33499999999999996,0.241479812820865,0.2116663884512607,0.33499999999999996,0.241479812820865,0.2116663884512607,0.6460000000000001,0.26510375327407193,0.2323736852571736,23.442,12.1158680043982,10.620026549985644
case2_slippery_4x4,PPO,18000,5,0.329,0.227771815640127,0.19965079914691047,0.329,0.227771815640127,0.19965079914691047,0.651,0.24549439912144638,0.21518532849615932,24.464999999999996,13.880832557883553,12.167086192018203
case2_slippery_4x4,PPO,20000,5,0.41800000000000004,0.2372920141934827,0.2079956211077531,0.41800000000000004,0.2372920141934827,0.2079956211077531,0.549,0.2675911059807482,0.23455394603374294,26.986,15.262213715578747,13.377920163224179
case2_slippery_4x4,PPO,22000,5,0.358,0.23750263156436816,0.20818023537310165,0.358,0.23750263156436816,0.20818023537310165,0.6279999999999999,0.25270041551212374,0.2215016803548,25.629999999999995,11.96446561698432,10.487316506142074
case2_slippery_4x4,PPO,24000,5,0.3249999999999999,0.23280893453645632,0.2040660285299834,0.3249999999999999,0.23280893453645632,0.2040660285299834,0.654,0.2553771720416686,0.22384796090203726,25.616000000000003,11.83455924401074,10.37344854971576
case2_slippery_4x4,PPO,26000,5,0.381,0.19960586163737776,0.1749622519288089,0.381,0.19960586163737776,0.1749622519288089,0.6020000000000001,0.21839184966477118,0.19142889646027844,25.133000000000003,11.354125681883216,9.952329965108673
case2_slippery_4x4,PPO,28000,5,0.43800000000000006,0.2136176490835905,0.18724412514148475,0.43800000000000006,0.2136176490835905,0.18724412514148475,0.5309999999999999,0.24042670400768715,0.21074329787682455,28.882000000000005,14.146244024475191,12.399729599890476
case2_slippery_4x4,PPO,30000,5,0.4709999999999999,0.22911241782147032,0.20082588876935162,0.4709999999999999,0.22911241782147032,0.20082588876935162,0.497,0.25764801571135765,0.22583844314022353,28.883,13.711340014746918,12.018519427550133
case2_slippery_4x4,PPO,32000,5,0.417,0.20302709178826356,0.17796109237695748,0.417,0.20302709178826356,0.17796109237695748,0.549,0.2309870126219221,0.20246904355975012,29.040999999999997,13.50997566615129,11.842015793841856
case2_slippery_4x4,PPO,34000,5,0.446,0.17781310412902643,0.15586005774411862,0.446,0.17781310412902643,0.15586005774411862,0.521,0.2079483108851813,0.18227473110664572,30.1,13.052008944986207,11.440590263618391
case2_slippery_4x4,PPO,36000,5,0.475,0.18614510468986284,0.1631633782440165,0.475,0.18614510468986284,0.1631633782440165,0.488,0.21813413304661886,0.19120299788444745,30.896000000000004,13.138894264739328,11.516748604254587
